"season","Region","village","household","DogID","sex","health","hunt.HH","d.monitored","rr","ctmm.model","AKDE95","AKDEcore","speed","prop.HH","prop.village","space.model","p.space.cat","p.space.YN","np","p.speed.cat","p.speed.YN","nv"
"Wet","Sarh.W","Bembaya","BEM03","BEM03G","F","Poor","Y",38,"Y","OUF anisotropic",170676,44748,0.93,63,90,"OUF anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.W","Bembaya","BEM03","BEM03F","M","Moderate","Y",38,"Y","OU anisotropic",90248,23181,NA,52,96,"OU anisotropic harmonic 6","24hr",1,26.35,NA,NA,NA
"Wet","Sarh.W","Bembaya","BEM04","BEM04A","F","Moderate","Y",39,"Y","OU anisotropic",22745,1908,NA,88,100,"OU anisotropic harmonic 1","24hr",1,8.39,NA,NA,NA
"Wet","Sarh.W","Bembaya","BEM05","BEM05B","M","Poor","Y",37,"Y","OU anisotropic",55106,16020,NA,16,94,"OUF anisotropic harmonic 2","24hr",1,14.83,NA,NA,0
"Wet","Sarh.W","Bembaya","BEM05","BEM05A","F","Moderate","Y",31,"Y","OU anisotropic",131022,22832,NA,47,89,"OU anisotropic harmonic 4","24hr",1,35.83,NA,NA,NA
"Wet","Sarh.W","Bembaya","BEM06","BEM06B","F","Moderate","N",39,"Y","OU anisotropic",37775,2608,NA,82,97,"OU anisotropic harmonic 5","24hr",1,33.95,NA,NA,NA
"Wet","Sarh.W","Bembaya","BEM06","BEM06A","F","Moderate","N",8,"Y","OUF anisotropic",12655,2873,0.93,95,99,"OUO anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.W","Bembaya","BEM09","BEM09B","M","Good","N",8,"Y","OUF anisotropic",275512,39823,0.75,70,88,"OUF anisotropic harmonic 4","None",0,NA,"6hr",1,5.52
"Wet","Sarh.W","Bembaya","BEM09","BEM09A","M","Poor","N",39,"Y","OU anisotropic",28172,5618,NA,77,98,"OU anisotropic harmonic 3","24hr",1,16.1,NA,NA,NA
"Wet","Sarh.W","Bembaya","BEM10","BEM10A","M","Good","N",28,"Y","OUF anisotropic",106152,24760,0.55,83,97,"OUF anisotropic harmonic 13","None",0,NA,"24hr",1,13.3
"Wet","Sarh.W","Bembaya","BEM11","BEM11B","M","Moderate","N",37,"Y","OUF anisotropic",44478,11078,0.76,24,98,"OUF anisotropic harmonic 6","None",0,NA,"3hr",1,1.76
"Wet","Sarh.W","Bembaya","BEM11","BEM11A","F","Moderate","N",37,"Y","OU anisotropic",32888,6324,NA,59,94,"OUF anisotropic harmonic 1","12hr",1,5.73,NA,NA,0
"Wet","Sarh.E","Marabodokouya","KIL01","KIL01A","M","Poor","N",12,"Y","OUF anisotropic",19965,2255,0.47,3,96,"OUF anisotropic harmonic 1","6hr",1,10.65,"6hr",1,0.43
"Wet","Sarh.E","Marabodokouya","KIL02","KIL02C","F","Poor","Y",9,"Y","OU anisotropic",9376,2476,NA,55,95,"OU anisotropic harmonic 2","24hr",1,30.65,NA,NA,NA
"Wet","Sarh.E","Marabodokouya","KIL02","KIL02A","F","Good","Y",12,"Y","OUF anisotropic",3986576,460958,1.12,69,83,"OUF anisotropic harmonic 11","None",0,NA,"24hr",1,17.94
"Wet","Sarh.E","Marabodokouya","KIL02","KIL02B","F","Poor","Y",9,"Y","OU anisotropic",92394,13504,NA,36,84,"OUF anisotropic harmonic 2","24hr",1,28.81,NA,NA,0
"Wet","Sarh.E","Marabodokouya","KIL02","KIL02D","M","Good","Y",24,"Y","OU anisotropic",42889,11675,NA,16,97,"OU anisotropic harmonic 1","None",0,NA,NA,NA,NA
"Wet","Sarh.E","Marabodokouya","KIL05","KIL05A","F",NA,"N",10,"N","OUF anisotropic",22109034,6296638,1.43,24,26,"OUF anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.E","Marabodokouya","KIL05","KIL05B","F",NA,"N",41,"Y","OUF anisotropic",1880180,408928,0.78,44,93,"OUF anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.E","Marabodokouya","KIL06","KIL06A","M","Good","N",50,"Y","OU anisotropic",32610,5834,NA,91,99,"OUF anisotropic harmonic 1","None",0,NA,NA,NA,0
"Wet","Sarh.E","Marabodokouya","KIL06","KIL06B","M","Moderate","N",26,"Y","OU anisotropic",30984,7518,NA,32,98,"OU anisotropic harmonic 3","24hr",1,15.57,NA,NA,NA
"Wet","Sarh.E","Marabodokouya","KIL08","KIL08A","F","Moderate","Y",49,"Y","OUF anisotropic",109463,11563,1.01,84,91,"OUF anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.E","Marabodokouya","KIL08","KIL08B","F","Moderate","Y",32,"Y","OU anisotropic",10058,1479,NA,88,96,"OUF anisotropic harmonic 4","24hr",1,19.42,NA,NA,0
"Wet","Sarh.E","Marabodokouya","KIL09","KIL09A","F","Moderate","Y",9,"Y","OU anisotropic",24532,3508,NA,92,97,"OUF anisotropic harmonic 1","None",0,NA,NA,NA,0
"Wet","Sarh.E","Marabodokouya","KIL10","KIL10A","M","Poor","N",10,"Y","OUF anisotropic",39926,4820,0.58,77,85,"OUF anisotropic harmonic 1","None",0,NA,"24hr",1,0.53
"Wet","Sarh.W","Kira","KRA01","KRA01A","F","Moderate","N",31,"Y","OU anisotropic",204558,27444,NA,73,91,"OU anisotropic harmonic 7","24hr",1,41.61,NA,NA,NA
"Wet","Sarh.W","Kira","KRA02","KRA02A","M","Good","N",19,"Y","OU anisotropic",296631,34862,NA,52,94,"OU anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.W","Kira","KRA02","KRA02B","F","Moderate","N",24,"Y","OUF anisotropic",1056766,100221,1.15,68,88,"OUF anisotropic harmonic 5","24hr",1,33.35,"24hr",1,5.52
"Wet","Sarh.W","Kira","KRA03","KRA03B","F","Moderate","N",51,"Y","OU anisotropic",32031,4006,NA,79,99,"OU anisotropic harmonic 1","24hr",1,8.4,NA,NA,NA
"Wet","Sarh.W","Kira","KRA04","KRA04A","F","Moderate","N",46,"Y","OUF anisotropic",136896,11999,1.07,78,93,"OUF anisotropic harmonic 8","24hr",1,19.82,"24hr",1,2.78
"Wet","Sarh.W","Kira","KRA04","KRA04B","M","Moderate","N",45,"Y","OUF anisotropic",203420,16679,1.57,73,92,"OUF anisotropic harmonic 10","24hr",1,22.88,"24hr",1,2.61
"Wet","Sarh.W","Kira","KRA05","KRA05A","M","Good","Y",31,"Y","OUF isotropic",2629769,192699,1.62,51,83,"OUF anisotropic harmonic 4","24hr",1,27.18,"24hr",1,3.82
"Wet","Sarh.W","Kira","KRA06","KRA06B","F",NA,"Y",31,"Y","OU anisotropic",27804,4040,NA,68,99,"OU anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.W","Kira","KRA07","KRA07A","F","Moderate","N",48,"Y","OUF anisotropic",1318884,196682,1.53,64,89,"OUF anisotropic harmonic 2","None",0,NA,"6hr",1,2.92
"Wet","Sarh.W","Kira","KRA07","KRA07B","F","Moderate","N",43,"Y","OUF anisotropic",702223,104086,0.86,66,92,"OUF anisotropic harmonic 2","None",0,NA,"24hr",1,4.39
"Wet","Sarh.W","Kira","KRA09","KRA09A","F","Moderate","N",50,"Y","OUF anisotropic",226223,18837,1.01,81,95,"OUF anisotropic harmonic 4","24hr",1,24.66,"24hr",1,3.14
"Wet","Sarh.W","Kira","KRA10","KRA10B","M","Good","Y",47,"Y","OU anisotropic",240966,24520,NA,22,86,"OU anisotropic harmonic 2","None",0,NA,NA,NA,NA
"Wet","Sarh.W","Kira","KRA10","KRA10A","F","Good","Y",51,"Y","OU anisotropic",88264,11378,NA,27,92,"OU anisotropic harmonic 5","None",0,NA,NA,NA,NA
